S.No.,Bridge Number,Bridge Name,Road Name,District,River/Stream,Chainage(Km),Length(m),Width(m),Span No,Foundation Type,Loading Capacity,Maintenance Division,Region,Completion Year,Cordinate,Bridge Type,Bridge Condition,Total Score,Load Restriction,Construction Status,Span Length(m),Data Updated Year
1671,20-F108-003,Jalad-3,Janakpur - Yadukaha,Dhanusha,Jalaad -3,6.657,50.6,RW-7.2 | CW-6,2,RCC Foundation,,Janakpur,Central,854,26.7300 | 85.9912,RCC T-Beam,7,1.7,0,Completed,25.1,2017
1672,20-F108-004,Jamuni,Janakpur - Yadukaha,Dhanusha,Jamuni khola,8.865,50.9,RW-7.2 | CW-6,2,Well Foundation,,Janakpur,Central,855,26.7259 | 86.0105,RCC T-Beam,7,1.7,0,Completed,25,2017
1673,20-F108-002,Jalad-2,Janakpur - Yadukaha,Dhanusha,Jalaad -2,5.9,49,RW-5.1 | CW-4.5,2,RCC Foundation,,Janakpur,Central,853,26.7315 | 85.9861,RCC T-Beam,6,1.7,0,Completed,24.5,2017
1674,20-F108-001,Jalad-1,Janakpur - Yadukaha,Dhanusha,alaad -1,1,20.8,RW-4.2 | CW-3.75,3,RCC Foundation,,Janakpur,Central,852,26.7356 | 85.9410,RCC Slab,5,1.7,0,Completed,6.9,2017
1675,20-F109-001,Jalad,Dharapani - Dhanusadham - Janakpur,Dhanusha,Jalad,19.735,89,RW-6.55 | CW-4.35,4,RCC Foundation,,Janakpur,Central,857,26.7753 | 85.9664,RCC T-Beam,7,1.7,0,Completed,22.45,2017
1676,20-F109-003,Ban Ganga,Dharapani - Dhanusadham - Janakpur,Dhanusha,Ban Ganga,8.605,10.5,RW-7.8 | CW-7,2,Open Foundation,,Janakpur,Central,859,26.8320 | 86.0575,RCC Slab,6,1.7,0,Completed,5.5,2017
1677,20-F109-002,Jagdhar,Dharapani - Dhanusadham - Janakpur,Dhanusha,Jagdhar,13.385,22.5,RW-6.7 | CW-4.4,1,Gabion Box,,Janakpur,Central,858,26.8098 | 86.0174,RCC T-Beam,7,1.7,0,Completed,22.5,2017
1678,20-F110-002,Jamuni,Janakpur - Jatahi,Dhanusha,Jamuni,14,52.4,RW-7.2 | CW-5.95,2,RCC Foundation,,Janakpur,Central,861,26.6152 | 85.9346,RCC T-Beam,6,1.7,0,Completed,26.2,2017
1679,20-F110-001,Jalad,Janakpur - Jatahi,Dhanusha,Jalad,7.8,25.2,RW-7.3 | CW-6.93,1,RCC Foundation,,Janakpur,Central,860,26.6711 | 85.9244,RCC T-Beam,7,1.7,0,Completed,25.2,2017
1680,20-F112-001,Dudhmati,Janakpur - Manara - Bathanaha,Dhanusha,Dudhmati ,1,12.2,RW-4.5 | CW-3.7,3,RCC Foundation,,Janakpur,Central,862,26.7284 | 85.9062,RCC Slab,5,1.7,0,Completed,4.07,2017
1681,20-F112-003,Bighi,Janakpur - Manara - Bathanaha,Dhanusha,Bighi khola,6.615,51.35,RW-4.95 | CW-4.35,2,RCC Foundation,,Janakpur,Central,864,26.7274 | 85.8471,RCC T-Beam,6,1.7,0,Completed,25.45,2017
1682,21-F112-005,Ratu,Janakpur - Manara - Bathanaha,Mahottari,Ratu ,12.465,67.5,RW-5 | CW-4.5,3,Well Foundation,,Janakpur,Central,865,26.7418 | 85.7848,RCC T-Beam,6,1.7,0,Completed,22.5,2017
1683,21-F112-002,Kochi,Janakpur - Manara - Bathanaha,Mahottari,Kochi ,5.1,7.1,RW-5.9 | CW-5.1,2,Open Foundation,,Janakpur,Central,863,26.7250 | 85.8668,RCC Slab,6,1.7,0,Completed,3.55,2017
1684,21-F112-004,Dudhmati/ Yashaotti bridge,Janakpur - Manara - Bathanaha,Mahottari,Yeshaotti khola,6.935,20.6,RW-7 | CW-6.55,6,RCC Foundation,,Janakpur,Central,1782,26.7271 | 85.8429,RCC Slab,6,1.7,,Completed,3.45,2017
1685,21-F112-006,Rato Pul (Dudhmati),Janakpur - Manara - Bathanaha,Mahottari,Rato Khola,7.915,25.5,RW-5.05 | CW-4.3,1,RCC Foundation,,Janakpur,Central,1793,26.7308 | 85.8324,RCC T-Beam,6,1.7,,Completed,25.5,2017
1686,21-F113-001,Bighi,Janakpur - Kurtha - Samsi,Mahottari,Bighi ,5.5,114,RW-4.7 | CW-3.9,19,Pile Foundation,,Janakpur,Central,866,26.7729 | 85.8818,RCC T-Beam,6,1.7,0,Completed,6,2017
1687,21-F113-004,Ankuse,Janakpur - Kurtha - Samsi,Mahottari,Ankuse,14.01,62.55,RW-6.95 | CW-5.5,3,RCC Foundation,,Janakpur,Central,869,26.8136 | 85.8236,RCC T-Beam,7,1.7,0,Completed,20.95,2017
1688,21-F113-005,Janga,Janakpur - Kurtha - Samsi,Mahottari,Jangali khola,18.155,75.65,RW-7.2 | CW-6,3,RCC Foundation,,Janakpur,Central,870,26.8235 | 85.7839,RCC T-Beam,7,1.7,0,Completed,25.4,2017
1689,21-F113-003,Ratu,Janakpur - Kurtha - Samsi,Mahottari,Ratu,12.085,67.5,RW-0 | CW-0,0,Gabion Box,,Janakpur,Central,868,26.8044 | 85.8393,RCC T-Beam,10,1.7,0,Under Construction,0,2017
1690,21-F114-001,Gerukhi,Bardibas - Jaleswor - Matihani (repeated),Mahottari,Gerukhi,32,25,RW-8.5 | CW-7.6,1,Gabion Box,,Janakpur,Central,871,26.7554 | 85.7798,RCC T-Beam,6,2.7,0,Completed,25,2017
1691,22-F117-003,Manusmara,Nayaroad - Barhathwa - Madhubani,Sarlahee,Manusmara ,18.4,31.3,RW-4.55 | CW-3.6,2,RCC Foundation,,Chandranigapur,Central,875,26.9617 | 85.4641,RCC T-Beam,6,1.7,0,Completed,15.5,2017
1692,22-F117-005,Nahar Pul,Nayaroad - Barhathwa - Madhubani,Sarlahee,Manusmara,21.1,20.9,RW-7.23 | CW-6.02,1,RCC Foundation,,Chandranigapur,Central,1791,26.9453 | 85.4554,RCC T-Beam,7,1.7,,Completed,20.9,2017
1693,22-F117-001,Dharahara,Nayaroad - Barhathwa - Madhubani,Sarlahee,Dharahara ,1.75,35,RW-4.65 | CW-3.95,3,RCC Foundation,,Chandranigapur,Central,873,27.0836 | 85.5190,RCC T-Beam,6,1.7,0,Completed,"10,15,10",2017
1694,22-F117-004,Manushmara Khola Bridge,Nayaroad - Barhathwa - Madhubani,Sarlahee,Manushmara Khola Bridge,18.085,25.6,RW-7.2 | CW-6,1,RCC Foundation,,Chandranigapur,Central,1790,26.9667 | 85.4612,RCC T-Beam,8,1.7,,Under Construction,25.6,2017
1695,22-F117-006,Manusmara Pul,Nayaroad - Barhathwa - Madhubani,Sarlahee,Manusmara,23,41.35,RW-7.55 | CW-6.02,2,RCC Foundation,,Chandranigapur,Central,1792,26.9345 | 85.4445,RCC T-Beam,8,1.7,,Completed,20.65,2017
1696,22-F117-002,Soti,Nayaroad - Barhathwa - Madhubani,Sarlahee,Soti,12.35,16,RW-4.5 | CW-3.9,1,RCC Foundation,,Chandranigapur,Central,874,27.0101 | 85.4735,RCC T-Beam,6,1.7,0,Completed,16,2017
1697,33-F118-001,Chiptaha,Tamagadhi - Simraungadh,Bara,Chiptaha,25.5,25.4,RW-7.25 | CW-6.05,1,Well Foundation,,Hetauda,Central,876,26.9850 | 85.1649,RCC T-Beam,7,1.2,0,Under Construction,25.4,2017
1698,31-F120-001,Jitpur,Hetauda - Tikabhairab,Makawanpur,Jitpur,31.85,18.5,RW-5.8 | CW-4,1,RCC Foundation,,Hetauda,Central,877,27.4292 | 85.2104,RCC T-Beam,6,1.7,0,Completed,18.5,2017
1699,31-F120-003,Phirke,Hetauda - Tikabhairab,Makawanpur,Phirke ,37.615,7.5,RW-5 | CW-4.4,1,RCC Foundation,,Hetauda,Central,879,27.4265 | 85.2293,RCC Slab,6,1.7,0,Completed,7.5,2017
1700,31-F120-004,Bagmati,Hetauda - Tikabhairab,Makawanpur,Bagmati,49.2,87.3,RW-5 | CW-4.3,3,RCC Foundation,,Hetauda,Central,880,27.4787 | 85.2472,RCC T-Beam,6,1.7,0,Completed,28.85,2017
1701,31-F120-002,Simat,Hetauda - Tikabhairab,Makawanpur,Simat,31.965,18.5,RW-5.8 | CW-4,1,RCC Foundation,,Hetauda,Central,878,27.4291 | 85.2114,RCC T-Beam,7,1.7,0,Completed,18.5,2017
1702,31-F121-003,Mahalaxmi Khola Bridge,Pharping - Kulekhani,Makawanpur,Mahalaxmi Khola,18.495,13.6,RW-4.6 | CW-4.15,1,RCC Foundation,,Hetauda,Central,1789,27.6060 | 85.1971,RCC T-Beam,6,2.2,,Completed,13.6,2017
1703,31-F121-002,Kulekhani,Pharping - Kulekhani,Makawanpur,Kulekhani,13.45,30,RW-6.1 | CW-5.5,2,RCC Foundation,,Hetauda,Central,882,27.5860 | 85.1550,RCC T-Beam,7,2.2,0,Completed,15.1,2017
1704,31-F122-001,Chisapani,Bhimphedi - Kulekhani,Makawanpur,Chisapani Khola,0.2,40,RW-3.5 | CW-3.25,2,Open Foundation,,Hetauda,Central,883,27.5464 | 85.1338,Steel Plate Girder,8,2.7,0,Completed,20,2017
1705,36-F123-002,Budhi Gandaki,Dhandinbesi - Arughat - Gorkha,Gorkha,Budhigandaki,35.35,104,RW-5.48 | CW-4.3,3,RCC Foundation,IRC class A/AA,Damauli,Western,885,28.0461 | 84.8159,Steel Truss,8,1.2,0,Completed,22+60+22,2017
1706,40-F123-001,Aankhu khola,Dhandinbesi - Arughat - Gorkha,Tanahu,Aankhu khola,25.7,148.2,RW-9 | CW-7,6,RCC Foundation,,Damauli,Western,884,27.9941 | 84.8277,RCC T-Beam,8,1.2,0,Completed,24.7,2017
1707,35-F124-002,Mainaha,Tandi - Sauraha,Chitawan,Mainaha Pul,3.25,9.2,RW-6 | CW-5.6,4,RCC Foundation,,Bharatpur,Central,887,27.5958 | 84.5054,RCC Slab,6,1.7,0,Completed,2.3,2017
1708,35-F124-001,Chitrashari,Tandi - Sauraha,Chitawan,Chitrashari,3.15,70.5,RW-6.4 | CW-4.45,3,Well Foundation,,Bharatpur,Central,886,27.5965 | 84.5045,RCC T-Beam,6,1.7,0,Completed,23.5,2017
1709,35-F125-002,Bethali,Bharatpur - Meghauli Airport,Chitawan,Bethali ,25.1,11.4,RW-4.25 | CW-3.75,2,RCC Foundation,,Bharatpur,Central,889,27.5756 | 84.2341,RCC Slab,3,1.7,0,Completed,5.7,2017
1710,35-F125-003,Kerung,Bharatpur - Meghauli Airport,Chitawan,Kerung ,39,32.6,RW-4.2 | CW-3.8,2,RCC Foundation,,Bharatpur,Central,890,27.5726 | 84.3006,RCC T-Beam,7,1.7,0,Completed,16.3,2017
1711,35-F125-001,Canal1,Bharatpur - Meghauli Airport,Chitawan,Canal1,8.1,9.6,RW-7.2 | CW-5.9,2,Open Foundation,,Bharatpur,Central,888,27.6570 | 84.3612,RCC Slab,5,1.7,0,Completed,4.8,2017
1712,38-F128-005,Pisti Khola Bridge,Damauli - Neupanibesi - Bhorletar,Lamjung,Pisti Khola,27.27,18.8,RW-7.2 | CW-6,1,RCC Foundation,,Damauli,Western,1771,28.1431 | 84.2297,RCC T-Beam,9,1.7,0,Completed,18.8,2017
1713,38-F128-004,Risti Khola,Damauli - Neupanibesi - Bhorletar,Lamjung,Risti Khola,16.13,41.2,RW-5.3 | CW-4.3,2,Open Foundation,,Damauli,Western,1174,28.0806 | 84.2383,RCC Slab,8,1.7,0,Completed,20.6,2017
1714,40-F128-001,Kalesti ,Damauli - Neupanibesi - Bhorletar,Tanahu,Kalesti ,7.997,48,RW-6 | CW-4.3,1,Open Foundation,,Damauli,Western,1171,28.0270 | 84.2594,Steel Truss,7,1.7,0,Completed,48,2017
1715,40-F128-002,Simle Khola,Damauli - Neupanibesi - Bhorletar,Tanahu,Simle Khola,10.815,7.6,RW-5.1 | CW-4.3,1,RCC Foundation,,Damauli,Western,1172,28.0404 | 84.2413,RCC Slab,8,1.7,0,Completed,7.6,2017
1716,40-F128-003,Sugandhi Khola,Damauli - Neupanibesi - Bhorletar,Tanahu,Sugandhi Khola,14.535,12.2,RW-5.9 | CW-5.1,2,Open Foundation,,Damauli,Western,1173,28.0690 | 84.2411,RCC Slab,8,1.7,0,Completed,6.1,2017
1717,39-F129-001,Deurali khola,Talchok - Khudimuhan,Kaski,Deurali khola,2.675,7.2,RW-7.5 | CW-6.3,1,RCC Foundation,,Pokhara,Western,1175,28.1640 | 84.0771,RCC Slab,7,1.7,0,Completed,7.2,2017
1718,39-F129-002,Kudi khola,Talchok - Khudimuhan,Kaski,Kudi khola,3.7,27.6,RW-7.4 | CW-5.8,4,RCC Foundation,,Pokhara,Western,1176,28.1643 | 84.0902,RCC T-Beam,8,1.7,0,Completed,7,2017
1719,45-F130-002,Ramkundra ,Bhumahi - Parasi - Bhairahawa,Nawalparasi,Ramkundra ,8.815,13.3,RW-6.2 | CW-5.3,1,N/A,,Butwal,Western,1178,27.5291 | 83.6545,RCC T-Beam,7,3.2,0,Completed,13.3,2017
1720,45-F130-001,Jharahi ,Bhumahi - Parasi - Bhairahawa,Nawalparasi,Jharahi ,7.105,82.8,RW-7 | CW-6,4,RCC Foundation,,Butwal,Western,1177,27.5300 | 83.6710,RCC T-Beam,8,3.2,0,Completed,20.7,2017
1721,45-F130-003,Ghola Khola,Bhumahi - Parasi - Bhairahawa,Nawalparasi,Ghola Khola,9.805,15,RW-11.7 | CW-11,3,RCC Foundation,,Butwal,Western,1179,27.5293 | 83.6430,RCC Slab,7,3.2,0,Completed,5,2017
1722,45-F130-004,Turia ,Bhumahi - Parasi - Bhairahawa,Nawalparasi,Turia Khola,14.3,36.6,RW-7 | CW-6,2,RCC Foundation,,Butwal,Western,1180,27.5155 | 83.6010,RCC T-Beam,8,3.2,0,Completed,18.3,2017
1723,45-F130-005,Mahu ,Bhumahi - Parasi - Bhairahawa,Nawalparasi,Mahu Khola,14.4,18.5,RW-7 | CW-6,1,RCC Foundation,,Butwal,Western,1181,27.5154 | 83.5984,RCC T-Beam,7,3.2,0,Completed,18.5,2017
1724,46-F130-006,Baghela Khola,Bhumahi - Parasi - Bhairahawa,Rupandehi,Baghela Khola,16.995,15,RW-7 | CW-6,1,RCC Foundation,,Butwal,Western,1182,27.5154 | 83.5728,RCC T-Beam,7,3.2,0,Completed,15,2017
1725,46-F130-007,Rohini,Bhumahi - Parasi - Bhairahawa,Rupandehi,Rohini,23.8,102.4,RW-7 | CW-6,5,RCC Foundation,,Butwal,Western,1183,27.5100 | 83.5058,RCC T-Beam,8,3.2,0,Completed,20.5,2017
1726,46-F130-008,Danda ,Bhumahi - Parasi - Bhairahawa,Rupandehi,Danda Khola,28.3,28.2,RW-7 | CW-6,2,RCC Foundation,,Butwal,Western,1184,27.5047 | 83.4664,RCC T-Beam,8,3.2,0,Completed,14.1,2017
1727,42-F131-001,Kaligandaki dam  Site ,Malunga - Mirmi - Gupteswor,Gulmi,Kaligandaki dam  Site ,18.5,148,RW-8.2 | CW-7.8,3,RCC Foundation,,Palpa,Western,1185,27.9755 | 83.5786,Steel Truss,5,1.7,0,Completed,49.3,2017
1728,42-F132-001,Tal khola,Ridi - Rudrabeni - Wami Taksar,Gulmi,Tal khola,2.2,30,RW- | CW-,,,,Palpa,Western,2096,27.9474 | 83.4464,,10,1.2,,Under Construction,,2017
1729,42-F132-005,Jumdi Khola,Ridi - Rudrabeni - Wami Taksar,Gulmi,Jumdi Khola,17.365,25.7,RW-7.2 | CW-6,1,RCC Foundation,,Palpa,Western,1847,28.0179 | 83.4391,RCC T-Beam,8,1.7,,Completed,25.7,2017
1730,42-F132-009,Hugdi Khola pul,Ridi - Rudrabeni - Wami Taksar,Gulmi,Hugdi Khola,32.635,96,RW-6.2 | CW-4.2,4,RCC Foundation,,Palpa,Western,1999,28.0670 | 83.3517,RCC T-Beam,7,1.7,,Completed,24,2017
1731,42-F132-002,Body-guard ,Ridi - Rudrabeni - Wami Taksar,Gulmi,Body-guard ,8.555,164,RW-4.8 | CW-4.2,8,Gabion Box,,Palpa,Western,1186,27.9750 | 83.4673,RCC T-Beam,7,1.7,0,Completed,20.5,2017
1732,50-F132-008,Daram khola,Ridi - Rudrabeni - Wami Taksar,Baglung,Daram khola,56.915,36.5,RW-6.2 | CW-4.2,1,RCC Foundation,,Baglung,Western,1901,28.1900 | 83.2796,Steel Plate Girder,6,1.7,,Completed,36.5,2017
1733,49-F133-004,Kaligandaki Khola,Maldhunga - Beni,Myagdi,Kaligandaki Khola,12.3,76.4,RW-6.3 | CW-4.3,3,RCC Foundation,,Baglung,Western,1190,28.3469 | 83.5684,RCC T-Beam,7,1.7,0,Completed,25.46,2017
1734,51-F133-003,Lungdi Khola,Maldhunga - Beni,Parbat,Lungdi Khola,9.315,25.5,RW-7.2 | CW-6,1,RCC Foundation,,Baglung,Western,1189,28.3253 | 83.5892,RCC T-Beam,8,1.7,0,Completed,25.5,2017
1735,51-F133-001,Dammwa ,Maldhunga - Beni,Parbat,Dammwa ,1.6,25,RW-7.2 | CW-6,1,RCC Foundation,,Baglung,Western,1187,28.2671 | 83.6116,RCC T-Beam,8,1.7,0,Completed,25,2017
1736,51-F133-002,Lasti Khola,Maldhunga - Beni,Parbat,Lasti Khola,6.4,25.3,RW-7.2 | CW-6,1,RCC Foundation,,Baglung,Western,1188,28.3036 | 83.6025,RCC T-Beam,8,1.7,0,Completed,25.3,2017
1737,44-F134-003,Ghochhe Khola,Tamghas - Sandhikharka,Arghakhanchi,Ghochhe Khola,48.7,15.8,RW-5.7 | CW-4.3,1,N/A,,Shivapur,Western,1862,27.9795 | 83.1221,RCC T-Beam,8,1.2,,Completed,15.8,2017
1738,44-F134-004,Khakabesi Khola,Tamghas - Sandhikharka,Arghakhanchi,Khakabesi Khola,70.555,18.7,RW-5.45 | CW-4.25,1,RCC Foundation,,Shivapur,Western,2039,28.0256 | 83.0126,RCC T-Beam,10,1.2,,Under Construction,18.7,2017
1739,44-F134-001,Mathura Khola.,Tamghas - Sandhikharka,Arghakhanchi,Mathura Khola.,32,21.7,RW-5 | CW-4.2,1,RCC Foundation,,Shivapur,Western,1191,27.9658 | 83.2095,RCC T-Beam,8,1.2,0,Completed,21.7,2017
1740,54-F134-006,Chunja Khola pil,Tamghas - Sandhikharka,Pyuthan,Chunja Khola,85.745,18,RW-5.3 | CW-4.2,1,N/A,,Devisthan,Mid-Western,1998,28.0458 | 82.9496,RCC T-Beam,9,1.2,,Completed,18,2017
1741,46-F135-004,Kanchan Khola-1,Rampur - Lumbini,Rupandehi,Kanchan Khola-1,9.3,57,RW-7 | CW-6,3,RCC Foundation,,Butwal,Western,1195,27.6059 | 83.3099,RCC T-Beam,8,1.7,0,Completed,19,2017
1742,46-F135-003,Matera Khola,Rampur - Lumbini,Rupandehi,Matera khola,8.6,17.4,RW-7.5 | CW-6,1,RCC Foundation,,Butwal,Western,1194,27.6099 | 83.3100,RCC T-Beam,7,1.7,0,Completed,17.4,2017
1743,46-F135-001,Inguria Khola,Rampur - Lumbini,Rupandehi,Inguria khola,0.9,52.3,RW-7 | CW-6,3,RCC Foundation,,Butwal,Western,1192,27.6797 | 83.3085,RCC T-Beam,8,1.7,0,Completed,17.4,2017
1744,46-F135-005,Kanchan Khola-2,Rampur - Lumbini,Rupandehi,Kanchan Khola,13,8,RW-7.7 | CW-7,1,Open Foundation,,Butwal,Western,1744,27.5710 | 83.3032,RCC Slab,7,1.7,,Completed,8,2017
1745,46-F135-002,Bunarahawa Khola,Rampur - Lumbini,Rupandehi,Bunarahawa Khola,1.2,52.3,RW-7.4 | CW-6,3,RCC Foundation,,Butwal,Western,1193,27.6753 | 83.3062,RCC T-Beam,8,1.7,0,Completed,17.4,2017
1746,46-F136-004,Jammuwa Khola,Shivgadhiya - Padariya,Rupandehi,Jammuwar Khola,0.995,10,RW-7.4 | CW-6.6,2,RCC Foundation,,Butwal,Western,1199,27.5059 | 83.2716,RCC Slab,7,1.7,0,Completed,5,2017
1747,46-F136-005,Telar Khola,Shivgadhiya - Padariya,Rupandehi,Telar Khola,9.235,31,RW-5.6 | CW-5,3,RCC Foundation,,Butwal,Western,1200,27.4783 | 83.284,RCC T-Beam,7,1.7,0,Completed,10.3,2017
1748,46-F136-003,Hadhawa Nala,Shivgadhiya - Padariya,Rupandehi,Hadhawa Nala,1.57,20,RW-10 | CW-8,1,RCC Foundation,,Butwal,Western,1198,27.5035 | 83.2682,RCC T-Beam,8,1.7,0,Completed,20,2017
1749,46-F136-002,Hadahawa Nala,Shivgadhiya - Padariya,Rupandehi,Hadahawa Nala,2.605,21.3,RW-8 | CW-6.5,3,RCC Foundation,,Butwal,Western,1197,27.4940 | 83.2681,RCC T-Beam,7,1.7,0,Completed,7.1,2017
1750,46-F136-001,Tilahar Khola,Shivgadhiya - Padariya,Rupandehi,Tilahar Khola,7.115,22.5,RW-10 | CW-3.5,1,RCC Foundation,,Butwal,Western,1196,27.4624 | 83.2783,RCC T-Beam,7,1.7,0,Completed,22.5,2017
1751,47-F137-002,Mijuwa Khola,Pipara - Chakar Chauda,Kapilbastu,Mijuwa Khola,25.5,23.8,RW-5.1 | CW-4.2,1,Gabion Box,,Shivapur,Western,1202,27.4700 | 83.1376,RCC T-Beam,7,1.7,0,Completed,23.8,2017
1752,47-F137-001,Marthikhola,Pipara - Chakar Chauda,Kapilbastu,Marthikhola,18.4,22.4,RW-5 | CW-4.2,1,RCC Foundation,,Shivapur,Western,1201,27.5344 | 83.1560,RCC T-Beam,7,1.7,0,Completed,22.4,2017
1753,56-F138-005,Parganda Khola,Lamahi - Koilabas,Dang,Parganda Khola,8.69,6.3,RW-5.6 | CW-5,1,RCC Foundation,,Dang,Mid-Western,1513,27.8130 | 82.5391,RCC Slab,7,1.7,0,Completed,6.3,2017
1754,56-F138-006,Sauri Khola,Lamahi - Koilabas,Dang,Sauri Khola,16.32,41,RW-7.2 | CW-6,2,Gabion Box,,Dang,Mid-Western,1514,27.7551 | 82.5692,RCC T-Beam,7,1.7,0,Under Construction,20.5,2017
1755,56-F138-002,Sano Khola,Lamahi - Koilabas,Dang,Sano Khola,3.885,10.7,RW-4.9 | CW-4.5,3,RCC Foundation,,Dang,Mid-Western,1510,27.8458 | 82.5321,RCC Slab,7,1.7,0,Completed,3.57,2017
1756,56-F138-003,Rapti Khola,Lamahi - Koilabas,Dang,Rapti Khola,5.15,404,RW-6.3 | CW-5.5,5,RCC Foundation,,Dang,Mid-Western,1511,27.8374 | 82.5389,Steel Truss,7,1.7,0,Completed,80.8,2017
1757,56-F138-004,Sigra Khola,Lamahi - Koilabas,Dang,Sigra Khola,7.4,50.8,RW-7.2 | CW-6,2,N/A,,Dang,Mid-Western,1512,27.8227 | 82.5369,RCC T-Beam,8,1.7,0,Completed,25.4,2017
1758,56-F138-007,Jamunibas Khola,Lamahi - Koilabas,Dang,Jamunibas Khola,16.825,82.4,RW-7.2 | CW-6,4,RCC Foundation,,Dang,Mid-Western,1515,27.7506 | 82.5693,RCC T-Beam,8,1.7,0,Completed,20.6,2017
1759,56-F138-001,Bagi Khola,Lamahi - Koilabas,Dang,Bagi Khola,2.41,18,RW-4.4 | CW-4.4,3,RCC Foundation,,Dang,Mid-Western,1509,27.8569 | 82.5268,RCC Slab,7,1.7,0,Completed,6,2017
1760,56-F138-008,Khahare Khola,Lamahi - Koilabas,Dang,Khahare Khola,18.32,7.4,RW-5.9 | CW-5.1,1,RCC Foundation,,Dang,Mid-Western,1516,27.7427 | 82.5705,RCC Slab,7,1.7,0,Completed,7.4,2017
1761,55-F141-011,Sharada nadi,Tulasipur - Purandhara - Botechaur,Salyan,Sharada Nadi (UC),48,104,RW-7 | CW-5.5,4,N/A,,Dang,Mid-Western,1524,28.2759 | 82.0600,RCC T-Beam,8,1.7,0,Completed,26,2017
1762,56-F141-003,Bhamki Khola,Tulasipur - Purandhara - Botechaur,Dang,Bhamki Khola,5.815,60,RW-7.2 | CW-6,18,RCC Foundation,,Dang,Mid-Western,1994,28.1219 | 82.2537,RCC Slab,7,1.7,,Completed,3.33,2017
1763,56-F141-004,Mai Gaon Khola,Tulasipur - Purandhara - Botechaur,Dang,Mai Gaon Khola,9.595,14.4,RW-6 | CW-5.6,2,Gabion Box,,Dang,Mid-Western,1519,28.1211 | 82.2231,RCC Slab,6,1.7,0,Completed,7.2,2017
1764,56-F141-001,Padu khola,Tulasipur - Purandhara - Botechaur,Dang,paduka khola ,1,103.6,RW-8.8 | CW-5.8,5,RCC Foundation,,Dang,Mid-Western,1517,28.1327 | 82.2910,RCC T-Beam,7,1.7,0,Completed,20.72,2017
1765,56-F141-008,Chayate,Tulasipur - Purandhara - Botechaur,Dang,Chayate Khola (UC),24,36.5,RW-6.9 | CW-5.9,2,RCC Foundation,,Dang,Mid-Western,1522,28.1816 | 82.1453,RCC T-Beam,7,1.7,0,Completed,18.25,2017
1766,56-F141-007,Chisapani,Tulasipur - Purandhara - Botechaur,Dang,Chisapani,20.2,30.9,RW-6.1 | CW-5.5,4,Open Foundation,,Dang,Mid-Western,1521,28.1617 | 82.1506,RCC Slab,8,1.7,0,Completed,7.85,2017
1767,56-F141-002,Gatte khola,Tulasipur - Purandhara - Botechaur,Dang,Gatte khola,3.4,40.7,RW-6.1 | CW-5.4,5,RCC Foundation,,Dang,Mid-Western,1518,28.1315 | 82.2702,RCC Slab,7,1.7,0,Completed,8.33,2017
1768,56-F141-006,Baula Khola,Tulasipur - Purandhara - Botechaur,Dang,Baula Khola,18.075,62,RW-7 | CW-6.7,14,RCC Foundation,,Dang,Mid-Western,2023,28.1506 | 82.1620,RCC Slab,7,1.7,,Completed,4.4,2017
1769,56-F141-016,Hansapur Khola bridge,Tulasipur - Purandhara - Botechaur,Dang,Hansapur Khola,34.245,8.2,RW-6.3 | CW-5.9,1,N/A,,Dang,Mid-Western,2016,28.2118 | 82.1211,RCC Slab,7,1.7,,Completed,8.2,2017
1770,56-F141-005,Bagar,Tulasipur - Purandhara - Botechaur,Dang,Bagar Khola (UC),11.385,32.4,RW-6.1 | CW-5.5,4,Open Foundation,,Dang,Mid-Western,1520,28.1209 | 82.2080,RCC Slab,8,1.7,0,Completed,8.1,2017
1771,56-F141-010,Twang,Tulasipur - Purandhara - Botechaur,Dang,Twang,40.515,16.8,RW-6 | CW-5.4,2,RCC Foundation,,Dang,Mid-Western,1523,28.2350 | 82.0963,RCC Slab,7,1.7,0,Completed,8.9,2017
1772,65-F142-001,Bageshwori nala,Nepalganj - Baghauda,Banke,Bageshwori nala,0.64,6.9,RW-5.4 | CW-4.8,1,N/A,,Nepalgunj,Mid-Western,1525,28.0625 | 81.6239,RCC Slab,6,1.7,0,Completed,6.9,2017
1773,65-F142-011,Badki Suiya Khola,Nepalganj - Baghauda,Banke,Badki Suiya Khola,49.5,22.6,RW-5.2 | CW-4,2,N/A,,Nepalgunj,Mid-Western,1530,27.8696 | 81.9182,RCC T-Beam,6,1.7,0,Completed,11.3,2017
1774,65-F142-007,Nankapur sota,Nepalganj - Baghauda,Banke,Nankapur sota,27.7,15,RW- | CW-,,,,Nepalgunj,Mid-Western,2127,27.9845 | 81.7825,,10,1.2,,Under Construction,,2017
1775,65-F142-009,2 Cell,Nepalganj - Baghauda,Banke,2 Cell,39.8,9.85,RW-6.8 | CW-6.3,2,N/A,,Nepalgunj,Mid-Western,1528,27.9049 | 81.8348,Multicell Box Culvert,7,1.7,0,Completed,4.92,2017
1776,65-F142-010,3 Cell,Nepalganj - Baghauda,Banke,3 Cell,44.915,11.2,RW-4.7 | CW-3.9,3,N/A,,Nepalgunj,Mid-Western,1529,27.8838 | 81.8791,RCC Slab,6,1.7,0,Completed,3.8,2017
